time,open,high,low,close,tick_volume,spread
2026-02-22 11:48:28.023842,65000.0,65172.61149156557,64986.71594376944,65059.44271962666,1399,5
2026-02-22 11:53:28.023842,65051.998307465044,65126.18717831584,65007.88862735073,65044.55389530343,1871,3
2026-02-22 11:58:28.023842,65083.14296736223,65135.05946886417,64981.49896883351,65121.73203942103,1186,1
2026-02-22 12:03:28.023842,65211.77162758022,65345.33343430754,65274.563017627086,65301.81121573941,1796,3
2026-02-22 12:08:28.023842,65288.70528936101,65331.61298790338,65212.00787271099,65275.5993629826,1271,2
2026-02-22 12:13:28.023842,65262.49966138888,65288.55474740977,65229.76026611456,65249.39995979517,2240,5
2026-02-22 12:18:28.023842,65342.924670815715,65493.76539696924,65341.418583795254,65436.44938183627,819,8
2026-02-22 12:23:28.023842,65482.332271988285,65548.4746032921,65511.832384687856,65528.215162140295,2265,5
2026-02-22 12:28:28.023842,65501.194156000696,65576.81811372095,65376.78041680919,65474.173149861104,1600,9
2026-02-22 12:33:28.023842,65506.81545789893,65560.58607380725,65497.36414050753,65539.45776593675,1607,5
2026-02-22 12:38:28.023842,65512.78908828863,65508.930569787546,65442.50987902852,65486.120410640506,964,2
2026-02-22 12:43:28.023842,65459.33728058939,65475.45818059216,65401.99064185839,65432.554150538264,1763,7
2026-02-22 12:48:28.023842,65447.46085955711,65490.04172506462,65447.44508751959,65462.36756857596,661,8
2026-02-22 12:53:28.023842,65350.490760123954,65362.27354353099,65141.26013637581,65238.613951671956,841,8
2026-02-22 12:58:28.023842,65138.14326237938,65077.160055964385,64959.87208353945,65037.672573086806,1131,2
2026-02-22 13:03:28.023842,65005.42606362474,65019.65028554359,64916.41476987703,64973.17955416268,1348,8
2026-02-22 13:08:28.023842,64914.65589129013,64947.90244711503,64766.32866750101,64856.132228417584,630,4
2026-02-22 13:13:28.023842,64875.129131819245,64952.71297610825,64855.86617144274,64894.12603522091,2426,3
2026-02-22 13:18:28.023842,64841.784353269904,64789.53217889276,64657.34768375084,64789.442671318895,1465,2
2026-02-22 13:23:28.023842,64707.84138149006,64724.9173549545,64495.53878176189,64626.24009166123,909,6
2026-02-22 13:28:28.023842,64712.24804751488,64864.95346227164,64691.60929388297,64798.25600336853,580,1
2026-02-22 13:33:28.023842,64785.73948479246,64852.192768983434,64745.94598495307,64773.222966216395,2315,4
2026-02-22 13:38:28.023842,64777.80764043336,64824.334394398415,64744.33353389072,64782.39231465033,786,2
2026-02-22 13:43:28.023842,64700.076175265836,64641.31086366393,64567.900423659,64617.76003588134,2060,9
2026-02-22 13:48:28.023842,64586.76198017172,64641.08111395918,64520.251893034736,64555.7639244621,922,9
2026-02-22 13:53:28.023842,64562.85488413896,64575.97858933914,64514.14044657087,64569.94584381582,906,1
2026-02-22 13:58:28.023842,64503.77182037289,64538.22026627232,64405.143751204785,64437.59779692995,1076,6
2026-02-22 14:03:28.023842,64460.038154142254,64568.35172729003,64463.42624297114,64482.47851135455,645,3
2026-02-22 14:08:28.023842,64448.2838778857,64427.18745652283,64221.81636159492,64414.08924441684,1147,1
2026-02-22 14:13:28.023842,64397.82722370347,64450.767321550855,64334.987172133064,64381.5652029901,439,3
2026-02-22 14:18:28.023842,64347.36226981238,64439.2775243393,64285.759559565646,64313.15933663466,820,3
2026-02-22 14:23:28.023842,64421.196827070344,64611.637691681295,64430.27978807134,64529.23431750603,1691,1
2026-02-22 14:28:28.023842,64529.09574112682,64538.69821941524,64419.15769180458,64528.95716474761,679,4
2026-02-22 14:33:28.023842,64468.23198683831,64479.14294027741,64390.4565225872,64407.506808929014,2363,9
2026-02-22 14:38:28.023842,64455.86741974976,64566.83046816647,64335.96031179633,64504.2280305705,1648,8
2026-02-22 14:43:28.023842,64434.07486101664,64432.274674743974,64268.028377032824,64363.92169146278,1174,6
2026-02-22 14:48:28.023842,64376.66680582147,64412.65663039395,64306.653278818514,64389.41192018015,1478,3
2026-02-22 14:53:28.023842,64276.689804830996,64225.10705838852,64103.22854891866,64163.96768948185,2431,9
2026-02-22 14:58:28.023842,64087.99989643367,64183.40215463134,63925.809559436726,64012.03210338549,1273,9
2026-02-22 15:03:28.023842,64024.01580559272,64067.790169890744,64022.09974230543,64035.999507799934,2023,1
2026-02-22 15:08:28.023842,64079.22862545877,64190.86360410462,64025.515354956144,64122.4577431176,2002,3
2026-02-22 15:13:28.023842,64132.99039722563,64189.21183422265,64002.267168769744,64143.52305133365,996,3
2026-02-22 15:18:28.023842,64137.488774867044,64286.1331388997,64060.15483623036,64131.454498400446,1980,7
2026-02-22 15:23:28.023842,64114.72098450314,64121.459524171,64047.561497939736,64097.98747060583,2190,1
2026-02-22 15:28:28.023842,64013.44689420471,63986.690778345495,63845.46728452433,63928.90631780359,835,5
2026-02-22 15:33:28.023842,63888.15463858533,63888.16082441799,63839.06473482686,63847.40295936708,1004,5
2026-02-22 15:38:28.023842,63821.582350870034,63863.03793634758,63746.94710572416,63795.76174237299,598,4
2026-02-22 15:43:28.023842,63857.15463072087,63941.66558878794,63886.78989112878,63918.54751906875,1129,2
2026-02-22 15:48:28.023842,63938.96044458194,63985.551669759094,63927.6997058239,63959.37337009514,593,7
2026-02-22 15:53:28.023842,63858.68515680681,63832.356795613945,63707.27319776188,63757.99694351848,770,5
2026-02-22 15:58:28.023842,63777.23697740959,63812.8438055684,63659.094683516785,63796.4770113007,627,5
2026-02-22 16:03:28.023842,63775.011997882866,63775.79665084787,63729.53832202036,63753.54698446503,1421,9
2026-02-22 16:08:28.023842,63715.36684248739,63736.95095839127,63624.44793234881,63677.18670050976,1623,3
2026-02-22 16:13:28.023842,63712.89832803373,63764.59994129095,63729.478549863925,63748.609955557695,2360,4
2026-02-22 16:18:28.023842,63808.455861340204,64000.84555887081,63801.98300957166,63868.30176712271,405,3
2026-02-22 16:23:28.023842,63922.51777226878,64021.381505465026,63877.53597533696,63976.73377741484,1033,6
2026-02-22 16:28:28.023842,63929.087707530816,63970.659730821186,63871.04238508306,63881.44163764679,1510,5
2026-02-22 16:33:28.023842,63864.307410328205,63962.0567782009,63765.52936695828,63847.17318300962,384,7
2026-02-22 16:38:28.023842,63866.85292848469,64011.054493764204,63859.672315822434,63886.53267395975,1553,7
2026-02-22 16:43:28.023842,63943.31372147423,64096.6314845707,63946.70776032885,64000.09476898872,831,2
2026-02-22 16:48:28.023842,63973.14564706209,63989.766337651694,63937.63564415728,63946.19652513547,1041,3
2026-02-22 16:53:28.023842,63936.1525981472,64003.23759090167,63893.883914631486,63926.10867115893,868,3
2026-02-22 16:58:28.023842,63863.15868173321,63872.76328832764,63738.01144749204,63800.208692307504,1283,9
2026-02-22 17:03:28.023842,63732.23281325941,63758.43044726923,63605.953777171606,63664.25693421131,755,3
2026-02-22 17:08:28.023842,63711.48454414412,63804.73369138818,63608.36227314409,63758.71215407693,1348,2
2026-02-22 17:13:28.023842,63837.27128349918,64006.61263121286,63814.1943978038,63915.83041292143,841,9
2026-02-22 17:18:28.023842,63912.32743517711,63909.232223484556,63887.72343007691,63908.82445743279,1764,1
2026-02-22 17:23:28.023842,63967.238018541015,64126.96576781761,63914.28639082006,64025.651579649246,74,1
2026-02-22 17:28:28.023842,64047.137627259974,64094.565712885684,63996.115588845794,64068.6236748707,1331,4
2026-02-22 17:33:28.023842,64032.086472180235,64065.913685172236,63992.30895137901,63995.54926948977,927,5
2026-02-22 17:38:28.023842,64017.011358723816,64062.804652925384,64024.24319606034,64038.473447957855,2346,8
2026-02-22 17:43:28.023842,64127.882594374256,64224.040146905434,64155.06280564516,64217.291740790664,2213,3
2026-02-22 17:48:28.023842,64215.86335939552,64299.49038674043,64139.12252450652,64214.43497800037,1196,4
2026-02-22 17:53:28.023842,64305.63183217072,64403.56696460667,64352.119890366426,64396.82868634108,428,7
2026-02-22 17:58:28.023842,64245.99410774777,64146.79764819147,64057.40437589823,64095.15952915446,2401,5
2026-02-22 18:03:28.023842,64143.24849955218,64202.44847194414,64190.18965426601,64191.337469949896,723,7
2026-02-22 18:08:28.023842,64197.00878528698,64218.55954456852,64140.94610356129,64202.68010062405,1251,4
2026-02-22 18:13:28.023842,64186.04907106429,64191.209659404245,64102.25319853999,64169.41804150454,1419,5
2026-02-22 18:18:28.023842,64175.35969784083,64327.38836518542,64138.650851775375,64181.301354177114,829,1
2026-02-22 18:23:28.023842,64067.33772374366,64075.457773263835,63934.45224838711,63953.3740933102,2362,8
2026-02-22 18:28:28.023842,63941.371997463284,64027.145638970745,63929.24923989702,63929.369901616374,2224,9
2026-02-22 18:33:28.023842,63950.5632015396,64095.77622265128,63968.694169391645,63971.75650146282,495,3
2026-02-22 18:38:28.023842,64057.60033753113,64241.76625066878,64083.50812678836,64143.444173599426,2083,4
2026-02-22 18:43:28.023842,64114.17969451446,64086.46398895342,64032.380665298544,64084.915215429486,2049,1
2026-02-22 18:48:28.023842,64038.95803378371,64001.63365983658,63917.70221591699,63993.000852137935,598,5
2026-02-22 18:53:28.023842,63964.75521170419,63952.76429527058,63873.42411168147,63936.50957127044,1346,6
2026-02-22 18:58:28.023842,63989.86827242118,64057.799351006666,63994.380976479544,64043.22697357193,959,6
2026-02-22 19:03:28.023842,64062.822252696504,64154.39804399687,63909.21889959635,64082.41753182108,2254,9
2026-02-22 19:08:28.023842,64052.518831295834,64043.12873202363,63953.581992822015,64022.620130770585,765,5
2026-02-22 19:13:28.023842,64052.84927439664,64191.46922704892,63980.066975793394,64083.0784180227,786,7
2026-02-22 19:18:28.023842,64089.31878179684,64105.0871409103,63972.851072460886,64095.55914557099,1416,1
2026-02-22 19:23:28.023842,64152.127225183816,64277.678219397996,64129.37037816328,64208.695304796645,2101,9
2026-02-22 19:28:28.023842,64168.79208874634,64134.50156002538,64011.48477481081,64128.88887269603,2215,7
2026-02-22 19:33:28.023842,64110.624017213675,64105.594215820485,64091.83514783123,64092.35916173133,1724,9
2026-02-22 19:38:28.023842,64070.389596566696,64072.82771533568,64015.81705944165,64048.42003140206,272,8
2026-02-22 19:43:28.023842,63964.807620204534,63994.37682725441,63856.40737038103,63881.195209007,1797,7
2026-02-22 19:48:28.023842,63898.86377151414,63998.541101737406,63835.788918615355,63916.53233402128,2465,1
2026-02-22 19:53:28.023842,63932.19250795775,63979.50067315478,63928.51301234881,63947.85268189423,1728,8
2026-02-22 19:58:28.023842,63948.78646917111,63988.2203905921,63913.708052292925,63949.72025644799,2100,2
2026-02-22 20:03:28.023842,63936.860736839226,63962.721118332505,63885.18142053218,63924.001217230456,1489,4
2026-02-22 20:08:28.023842,63843.31393057811,63763.294710148926,63750.11839605821,63762.62664392576,782,5
2026-02-22 20:13:28.023842,63739.133624733135,63729.25399006877,63702.18187366847,63715.64060554052,1094,3
2026-02-22 20:18:28.023842,63696.63078839026,63701.52905720851,63629.9393903872,63677.620971240016,1748,1
2026-02-22 20:23:28.023842,63632.31162053266,63633.350125999175,63328.77750947316,63587.0022698253,543,3
2026-02-22 20:28:28.023842,63578.40919389348,63597.30539178345,63447.18284129965,63569.81611796166,1661,9
2026-02-22 20:33:28.023842,63593.577588192915,63646.16201667203,63607.0318860781,63617.33905842418,2112,2
